section,method,training_mode,train_graph,infer_graph,variant,n_eval_spots,n_reference_domains,n_predicted_domains,ari,nmi,pas,chaos
151675,stagate,fullneighbors,annotation,annotation,mclust,3566,7,7,0.5680145887285497,0.6561298807545055,0.8396803140773976,0.0613870267919271
151676,stagate,fullneighbors,annotation,annotation,mclust,3431,7,7,0.4552916310591542,0.5740187378278891,0.8518507723695715,0.0633777860194318
151507,stagate,fullneighbors,annotation,spatial,mclust,4221,7,7,0.4991876217299533,0.6506914119578523,0.87969675432362,0.0568948165615778
151508,stagate,fullneighbors,annotation,spatial,mclust,4381,7,7,0.4676026530861406,0.6024111847349688,0.8939739785437115,0.055767488006892
151509,stagate,fullneighbors,annotation,spatial,mclust,4788,7,7,0.4836027419370172,0.6462786336274484,0.8835213032581454,0.0542611102640135
151510,stagate,fullneighbors,annotation,spatial,mclust,4595,7,7,0.4635740653394517,0.6175739337806768,0.8589118607181719,0.0557629364751646
151669,stagate,fullneighbors,annotation,spatial,mclust,3636,5,5,0.2403941320168316,0.4694032364315272,0.9002750275027502,0.0617303842328867
151670,stagate,fullneighbors,annotation,spatial,mclust,3484,5,5,0.4274159636559319,0.5678035262360923,0.9044202066590128,0.0608643680043121
151671,stagate,fullneighbors,annotation,spatial,mclust,4093,5,5,0.5563380172929198,0.6578964746031375,0.9072318592719276,0.0582393637421341
151672,stagate,fullneighbors,annotation,spatial,mclust,3888,5,5,0.5828864875358242,0.6916565188741365,0.9123456790123456,0.0597333552309141
151673,stagate,fullneighbors,annotation,spatial,mclust,3611,7,7,0.5107268526377589,0.6420714466797919,0.8761284962614234,0.0610118703406876
151674,stagate,fullneighbors,annotation,spatial,mclust,3635,7,7,0.4598864035315732,0.569719641692229,0.8960935350756534,0.0612928444541181
151675,stagate,fullneighbors,annotation,spatial,mclust,3566,7,7,0.4108615543350013,0.5491425431488579,0.8561974200785194,0.061868663941744
151676,stagate,fullneighbors,annotation,spatial,mclust,3431,7,7,0.4499882759851342,0.5679764509978947,0.8633343048673856,0.0633293002326634
151507,stagate,fullneighbors,spatial,annotation,mclust,4221,7,7,0.5529568233579182,0.6984926931339281,0.8823738450604123,0.0569677695837709
151508,stagate,fullneighbors,spatial,annotation,mclust,4381,7,7,0.5334592171635486,0.6553233620230668,0.8900479342615841,0.0563612382203263
151509,stagate,fullneighbors,spatial,annotation,mclust,4788,7,7,0.435659293609752,0.6214643870243617,0.8777986633249791,0.0541642499907531
151510,stagate,fullneighbors,spatial,annotation,mclust,4595,7,7,0.5495992421400334,0.6601064193539938,0.869727965179543,0.0560592846711083
151669,stagate,fullneighbors,spatial,annotation,mclust,3636,5,5,0.250654954835137,0.4896068550577149,0.9113036303630364,0.0616589796109817
151670,stagate,fullneighbors,spatial,annotation,mclust,3484,5,5,0.2622644033337744,0.4645645897471813,0.8914466130884041,0.0610073454983153
151671,stagate,fullneighbors,spatial,annotation,mclust,4093,5,5,0.5691932954733757,0.6843706780250369,0.9124602980698754,0.0583984472276571
