cavity_sigma,repeat,method,ARI,NMI,cavity_precision,cavity_recall,cavity_f1,cavity_iou,cavity_lcc_fraction
4.0,1,8-hop Gaussian,0.35649562746991603,0.6308796564870572,0.8731953558808683,0.1868922598210813,0.30788672730185285,0.18195396979004502,0.07783947501261988
4.0,2,No graph,0.3349246493839058,0.5659657536614473,1.0,0.06277280781364795,0.11813024825651139,0.06277280781364795,0.0024096385542168677
4.0,2,1-hop Gaussian,0.3762151745726215,0.6109708846332252,0.9434793881254862,0.07863347594969532,0.14516804627505733,0.07826479697178251,0.0070002592688618095
4.0,2,2-hop Gaussian,0.3722137877242933,0.6292978270706442,0.9689578713968958,0.11331518215998963,0.2029019152640743,0.11290530939155148,0.013488543976348855
4.0,2,4-hop Gaussian,0.36253380649484873,0.6291549947533085,0.7433232469411919,0.12208824927611392,0.20972920804023829,0.11714943291380704,0.01460334166557032
4.0,2,8-hop Gaussian,0.3396041339742733,0.6115516334302529,0.9893039591315453,0.13390812048921732,0.235887480491797,0.13371453231200778,0.0956257982120051
4.0,3,No graph,0.3361120762441828,0.5713373500361439,0.9839073060830383,0.06605730584727085,0.12380277412169688,0.06598601277844932,0.0019311232700354038
4.0,3,1-hop Gaussian,0.38843814649436,0.6211746519306659,0.9761038961038961,0.08120489217338692,0.1499361634216406,0.08104377830493854,0.008571428571428572
4.0,3,2-hop Gaussian,0.3598254223413549,0.6282713524702933,0.9859382203780545,0.09241972427503349,0.16899794531373477,0.09229806426552148,0.01429230059935454
4.0,3,4-hop Gaussian,0.3467084622057969,0.6285673746087337,0.9699967029343884,0.12714464756471758,0.22482041876814915,0.12664657770124838,0.0250576986482031
4.0,3,8-hop Gaussian,0.3459296954429399,0.6200232100051609,0.9542909381784939,0.18045291499200483,0.3035126933071653,0.1789065512661211,0.028682436292995085
4.0,4,No graph,0.34526309444898434,0.5674819272850604,1.0,0.06398288603656165,0.12027051727289342,0.06398288603656165,0.00303951367781155
4.0,4,1-hop Gaussian,0.3465757101394051,0.6021948665170503,0.9491566265060241,0.08511603785816155,0.15622273340207823,0.08472972100927101,0.0077108433734939755
4.0,4,2-hop Gaussian,0.31488344845551797,0.5883655473283032,0.9262962101836782,0.08608842214443148,0.15753573617509242,0.0855027363451014,0.01116019530341781
4.0,4,4-hop Gaussian,0.37440154293090905,0.6262109941833583,0.974768875192604,0.10936081939582523,0.19665824752282882,0.10905212351052597,0.02908320493066256
4.0,4,8-hop Gaussian,0.3445575875807314,0.6182657667880533,0.9931479242241031,0.1597303254246078,0.2751996425978668,0.15955449070776404,0.061399973129114604
4.0,5,No graph,0.3352298749086061,0.569422361593641,0.990271021542738,0.06158433813042915,0.11595736024086582,0.061547099727897035,0.0020847810979847115
4.0,5,1-hop Gaussian,0.37392575978150183,0.6157230973396174,0.9757543103448276,0.07826613077488223,0.14490898179635928,0.07811421670117322,0.008890086206896552
4.0,5,2-hop Gaussian,0.36634864368437,0.6314798910243334,0.9792258910999344,0.09676304075370587,0.17612239680635586,0.09656481142043861,0.013995189153728407
4.0,5,4-hop Gaussian,0.3410300613070889,0.6227871334736808,0.9871634314339386,0.13626345131596007,0.2394713857137432,0.13602243313201035,0.04899812147777082
4.0,5,8-hop Gaussian,0.33836160294531015,0.6150139832717287,0.9960909222527871,0.14866675310082544,0.258719563786782,0.14858006694741388,0.05371362385985232
4.0,6,No graph,0.35007283861998434,0.5725714175269477,1.0,0.06365875794113834,0.11969770843490982,0.06365875794113834,0.0023761031907671417
4.0,6,1-hop Gaussian,0.3620101895788693,0.6032075281493215,0.967741935483871,0.08427330481006094,0.15504492327264055,0.08403723495948974,0.008684863523573201
4.0,6,2-hop Gaussian,0.3497347704339949,0.6242346160912869,0.9817342818688714,0.11033320368209516,0.19837215175119952,0.11010717443339875,0.011343972313016728
4.0,6,4-hop Gaussian,0.3493863182315228,0.6285572865135517,0.9722173685130177,0.1202299148623536,0.21399588469452507,0.11981824837952494,0.026210029704700332
4.0,6,8-hop Gaussian,0.35047462204143087,0.6160054691031686,0.7634911580148317,0.1446043476381866,0.2431553512708246,0.138404583152365,0.05270964061608671
4.0,7,No graph,0.32158651460839743,0.5668735210975915,1.0,0.061216992955616056,0.11537130174502656,0.061216992955616056,0.002117896223085069
4.0,7,1-hop Gaussian,0.37108291323502285,0.6140689036090008,0.9679211922202576,0.08280392411080859,0.15255688038696577,0.08257730847968969,0.006314725940894165
4.0,7,2-hop Gaussian,0.35724973110577557,0.6071648237818735,0.9579168858495528,0.07869830156877998,0.14544728434504794,0.07842715017873293,0.012361914781693845
4.0,7,4-hop Gaussian,0.3401535987896398,0.6206867098647105,0.9791445740544362,0.11971130990967631,0.21333949476278496,0.11940684541770842,0.029869211735595615
4.0,7,8-hop Gaussian,0.3285463039028907,0.6126295200347285,0.938685688268326,0.1336488180128787,0.23398339228630338,0.13249218114048242,0.02929124298072545
4.0,8,No graph,0.34659475484111707,0.5747714331109682,0.9989506820566632,0.06171398936859847,0.11624641308993222,0.061709988980359114,0.002448408534452606
4.0,8,1-hop Gaussian,0.35615738695386684,0.6122465543945889,0.97607421875,0.0863909417001599,0.15873267955691428,0.08620838364671382,0.0078125
4.0,8,2-hop Gaussian,0.35705675059031844,0.6158181839031929,0.9723097703737056,0.09332728294221876,0.170307570977918,0.09307989051960087,0.010130571814497974
4.0,8,4-hop Gaussian,0.33692331332279585,0.6144096794766767,0.9891443167305236,0.13388651194952245,0.2358494157055308,0.13369007034048247,0.036717752234993614
4.0,8,8-hop Gaussian,0.32371816860581026,0.6026643548464901,0.7546860356138707,0.13920221271446476,0.23504943992410698,0.1331762176465724,0.04194001874414246
4.0,9,No graph,0.2892728527860682,0.5468348795720573,1.0,0.06393966895717187,0.12019416292625465,0.06393966895717187,0.003041568097330179
4.0,9,1-hop Gaussian,0.38472188154881104,0.6138298280971581,0.9690537084398977,0.08187475690392844,0.15099226906830318,0.0816612426991961,0.007161125319693095
4.0,9,2-hop Gaussian,0.3628148065443016,0.6190078696618813,0.9353333333333333,0.09095034357578115,0.16578045610303674,0.09038201378599497,0.012444444444444444
4.0,9,4-hop Gaussian,0.3606274828763144,0.6288310585029913,0.9702459861540728,0.14233545097022343,0.24825220947104606,0.14171686746987952,0.028870231256444247
